Commodity,Attribute,Country,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
"Oil, Coconut",Crush,Australia,33.0,33.0,33.0,30.0,32.0,79.0,30.0,21.0,18.0,14.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,26.0,21.0,20.0,18.0,19.0,18.0,25.0,23.0,24.0,28.0,17.0,22.0,19.0,19.0,20.0,21.0,132.0,87.0,24.0,34.0,36.0,35.0,(1000 MT)
,,Belgium-Luxembourg,34.0,43.0,39.0,29.0,34.0,7.0,15.0,22.0,13.0,5.0,20.0,18.0,15.0,14.0,18.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,23.0,14.0,21.0,24.0,31.0,37.0,35.0,60.0,53.0,48.0,48.0,42.0,50.0,59.0,49.0,47.0,46.0,46.0,42.0,42.0,42.0,36.0,45.0,22.0,21.0,22.0,21.0,20.0,15.0,11.0,12.0,15.0,29.0,29.0,32.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,(1000 MT)
,,Denmark,35.0,32.0,21.0,24.0,31.0,14.0,19.0,27.0,16.0,6.0,21.0,42.0,20.0,22.0,18.0,14.0,10.0,13.0,15.0,18.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,70.0,82.0,78.0,66.0,112.0,105.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,37.0,34.0,34.0,40.0,45.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Former Yugoslavia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,France,96.0,95.0,88.0,75.0,65.0,55.0,57.0,55.0,48.0,47.0,59.0,75.0,58.0,58.0,53.0,57.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,German Democratic Republic,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,16.0,10.0,7.0,10.0,5.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,"Germany, Federal Republic of",243.0,289.0,255.0,157.0,177.0,150.0,276.0,440.0,296.0,76.0,413.0,539.0,366.0,213.0,57.0,52.0,75.0,157.0,57.0,64.0,69.0,70.0,68.0,55.0,56.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Ghana,7.0,7.0,8.0,8.0,5.0,6.0,19.0,20.0,20.0,21.0,22.0,22.0,22.0,22.0,22.0,21.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,24.0,24.0,24.0,24.0,13.0,12.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,(1000 MT)
,,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,India,320.0,317.0,325.0,326.0,337.0,339.0,360.0,347.0,345.0,339.0,349.0,357.0,354.0,377.0,335.0,339.0,334.0,371.0,343.0,305.0,365.0,380.0,320.0,300.0,330.0,350.0,400.0,450.0,490.0,550.0,600.0,610.0,735.0,718.0,710.0,720.0,725.0,700.0,750.0,725.0,737.0,619.0,619.0,692.0,644.0,675.0,635.0,634.0,619.0,841.0,759.0,680.0,800.0,950.0,920.0,920.0,930.0,900.0,900.0,900.0,(1000 MT)
,,Indonesia,344.0,396.0,455.0,464.0,536.0,550.0,622.0,795.0,728.0,656.0,922.0,1111.0,1074.0,1077.0,956.0,1042.0,1233.0,1105.0,1024.0,1120.0,1180.0,1200.0,1218.0,1200.0,1120.0,1325.0,1325.0,1300.0,1195.0,1430.0,1280.0,1410.0,1900.0,1260.0,1251.0,1275.0,1325.0,1325.0,1256.0,1331.0,1327.0,1394.0,1386.0,1450.0,1400.0,1550.0,1511.0,1460.0,1560.0,1540.0,1545.0,1573.0,1550.0,1610.0,1540.0,1482.0,1622.0,1638.0,1625.0,1630.0,(1000 MT)
,,Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Ireland,3.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,10.0,13.0,16.0,10.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Italy,23.0,22.0,19.0,17.0,21.0,13.0,32.0,33.0,16.0,5.0,3.0,14.0,9.0,7.0,10.0,12.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Japan,94.0,108.0,112.0,122.0,115.0,121.0,124.0,126.0,132.0,86.0,89.0,94.0,98.0,91.0,53.0,67.0,72.0,78.0,66.0,71.0,78.0,83.0,89.0,82.0,56.0,44.0,38.0,24.0,38.0,36.0,37.0,38.0,30.0,42.0,37.0,41.0,39.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,"Korea, South",1.0,3.0,2.0,1.0,2.0,1.0,2.0,6.0,3.0,1.0,5.0,17.0,10.0,4.0,2.0,8.0,5.0,1.0,3.0,1.0,15.0,27.0,35.0,38.0,50.0,60.0,60.0,60.0,58.0,55.0,40.0,44.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
