Commodity,Attribute,Country,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
"Oil, Palm Kernel",Crush,Belgium-Luxembourg,0,0,0,30.0,24.0,6.0,20.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Benin,0,1,3,36.0,36.0,41.0,49.0,42.0,47,51,57,65,57,73,84,84,58,69,70,70,75,75,75,75,75,75,75,75,75.0,75.0,75.0,75.0,75.0,75.0,22.0,22.0,22.0,22.0,22.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,(1000 MT)
,,Brazil,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,11,12,12,12,14,18.0,21.0,21.0,21.0,24.0,26.0,28.0,28.0,25.0,28.0,32.0,30.0,30.0,33.0,37.0,38.0,42.0,37.0,37.0,44.0,80.0,83.0,88.0,95.0,95.0,101.0,115.0,121.0,131.0,135.0,140.0,140.0,145.0,150.0,155.0,(1000 MT)
,,Cameroon,22,20,22,27.0,19.0,30.0,24.0,26.0,33,39,47,48,34,48,33,34,38,35,40,46,41,48,30,45,42,42,42,42,42.0,42.0,42.0,42.0,43.0,50.0,53.0,62.0,55.0,59.0,64.0,66.0,66.0,67.0,68.0,70.0,70.0,88.0,87.0,88.0,90.0,120.0,130.0,140.0,135.0,135.0,150.0,140.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,(1000 MT)
,,Canada,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,China,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Colombia,0,0,0,1.0,2.0,2.0,2.0,4.0,6,9,10,11,10,12,12,13,17,14,17,19,19,21,24,23,30,31,38,42,46.0,46.0,53.0,56.0,58.0,34.0,68.0,74.0,82.0,83.0,100.0,120.0,114.0,120.0,142.0,149.0,158.0,173.0,180.0,173.0,178.0,206.0,214.0,224.0,242.0,257.0,246.0,307.0,321.0,326.0,301.0,292.0,316.0,330.0,350.0,(1000 MT)
,,Congo (Kinshasa),0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,35.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,29.0,35.0,43.0,44.0,45.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0,46.0,(1000 MT)
,,Costa Rica,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,10.0,15.0,16.0,19.0,20.0,22.0,23.0,24.0,25.0,27.0,30.0,26.0,26.0,30.0,35.0,39.0,37.0,39.0,40.0,44.0,47.0,43.0,77.0,60.0,50.0,57.0,58.0,60.0,62.0,66.0,82.0,115.0,116.0,118.0,(1000 MT)
,,Cote d'Ivoire,3,6,2,0.0,12.0,13.0,13.0,10.0,7,0,0,0,0,4,7,13,24,27,35,17,28,26,30,35,37,37,32,25,22.0,28.0,41.0,45.0,47.0,43.0,47.0,46.0,49.0,49.0,47.0,45.0,35.0,30.0,30.0,30.0,47.0,67.0,70.0,71.0,71.0,89.0,89.0,93.0,94.0,86.0,96.0,108.0,118.0,118.0,125.0,130.0,140.0,142.0,142.0,(1000 MT)
,,Denmark,0,0,0,14.0,19.0,9.0,18.0,22.0,18,25,16,17,21,18,20,25,20,15,23,38,24,12,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Dominican Republic,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Ecuador,0,0,0,0.0,0.0,0.0,9.0,4.0,4,1,2,2,3,3,4,4,5,9,10,10,11,11,13,14,18,18,20,20,23.0,25.0,26.0,27.0,28.0,32.0,30.0,31.0,36.0,40.0,38.0,39.0,42.0,41.0,43.0,55.0,58.0,87.0,95.0,95.0,95.0,140.0,115.0,105.0,100.0,145.0,140.0,140.0,140.0,135.0,115.0,115.0,100.0,115.0,115.0,(1000 MT)
,,EU-15,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.0,59.0,31.0,8.0,11.0,11.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,European Union,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,32.0,61.0,11.0,53.0,49.0,16.0,18.0,25.0,25.0,25.0,0.0,9.0,0.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,France,0,0,0,65.0,48.0,45.0,40.0,40.0,60,37,21,18,16,14,8,10,11,7,9,1,2,1,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,German Democratic Republic,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Germany,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,"Germany, Federal Republic of",0,0,0,126.0,118.0,69.0,85.0,64.0,76,69,24,34,56,44,50,72,15,5,26,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Ghana,12,11,13,21.0,27.0,34.0,34.0,33.0,37,30,32,32,33,34,34,32,30,30,30,30,32,35,37,37,37,37,37,37,37.0,37.0,37.0,37.0,37.0,34.0,36.0,35.0,34.0,35.0,34.0,35.0,35.0,73.0,74.0,76.0,77.0,78.0,76.0,85.0,95.0,80.0,85.0,86.0,59.0,54.0,68.0,68.0,69.0,78.0,77.0,80.0,84.0,84.0,84.0,(1000 MT)
,,Guatemala,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,37.0,30.0,27.0,29.0,30.0,29.0,47.0,47.0,42.0,44.0,47.0,63.0,80.0,90.0,105.0,125.0,144.0,168.0,186.0,146.0,162.0,172.0,170.0,170.0,(1000 MT)
,,Guinea,0,0,0,13.0,16.0,15.0,17.0,20.0,22,21,25,22,24,26,28,24,30,28,20,31,23,23,23,29,32,32,32,34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,46.0,48.0,49.0,51.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,(1000 MT)
,,Guinea-Bissau,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,(1000 MT)
,,Honduras,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,8.0,18.0,19.0,21.0,21.0,22.0,23.0,29.0,31.0,33.0,41.0,46.0,47.0,56.0,61.0,49.0,57.0,73.0,71.0,83.0,93.0,95.0,100.0,107.0,112.0,145.0,169.0,143.0,173.0,129.0,160.0,160.0,156.0,(1000 MT)
,,Hungary,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,India,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,10.0,15.0,17.0,13.0,12.0,12.0,13.0,13.0,14.0,15.0,17.0,18.0,18.0,21.0,31.0,40.0,47.0,51.0,58.0,58.0,70.0,70.0,70.0,75.0,80.0,85.0,86.0,(1000 MT)
