Commodity,Attribute,Country,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
"Oil, Peanut",Crush,Argentina,331.0,260.0,257.0,250.0,478.0,323.0,508.0,153.0,108.0,187.0,106.0,115.0,101.0,100.0,332.0,167.0,77.0,104.0,314.0,300.0,119.0,140.0,183.0,232.0,168.0,236.0,233.0,203.0,200.0,190.0,127.0,181.0,197.0,172.0,131.0,216.0,272.0,165.0,132.0,195.0,211.0,210.0,278.0,269.0,293.0,306.0,319.0,235.0,245.0,280.0,150.0,250.0,(1000 MT)
,,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,32.0,22.0,20.0,29.0,27.0,27.0,31.0,30.0,37.0,35.0,37.0,42.0,42.0,40.0,37.0,43.0,44.0,50.0,51.0,52.0,54.0,63.0,63.0,63.0,64.0,65.0,(1000 MT)
,,Belgium-Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,50.0,55.0,50.0,54.0,54.0,60.0,60.0,60.0,60.0,60.0,65.0,60.0,60.0,65.0,65.0,65.0,65.0,100.0,95.0,100.0,100.0,90.0,100.0,(1000 MT)
,,Brazil,401.0,308.0,301.0,350.0,220.0,230.0,353.0,432.0,196.0,252.0,190.0,160.0,250.0,116.0,95.0,60.0,55.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,55.0,55.0,55.0,60.0,60.0,55.0,60.0,100.0,88.0,97.0,113.0,120.0,120.0,125.0,135.0,170.0,130.0,160.0,160.0,160.0,170.0,150.0,200.0,240.0,420.0,300.0,400.0,(1000 MT)
,,Burkina Faso,45.0,47.0,49.0,49.0,49.0,64.0,53.0,53.0,53.0,58.0,58.0,58.0,48.0,93.0,125.0,111.0,145.0,125.0,125.0,125.0,125.0,155.0,145.0,165.0,160.0,150.0,150.0,192.0,130.0,200.0,214.0,210.0,185.0,140.0,140.0,145.0,230.0,210.0,220.0,170.0,217.0,245.0,230.0,235.0,235.0,235.0,235.0,260.0,360.0,350.0,385.0,400.0,(1000 MT)
,,Burma,228.0,243.0,275.0,278.0,344.0,338.0,284.0,250.0,319.0,417.0,433.0,426.0,534.0,448.0,435.0,415.0,301.0,321.0,320.0,228.0,285.0,253.0,291.0,329.0,349.0,330.0,340.0,350.0,390.0,410.0,425.0,560.0,520.0,560.0,570.0,580.0,640.0,715.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,870.0,750.0,800.0,(1000 MT)
,,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,15.0,43.0,59.0,63.0,64.0,67.0,64.0,69.0,130.0,150.0,150.0,165.0,168.0,170.0,180.0,180.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,(1000 MT)
,,Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,75.0,79.0,82.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,65.0,65.0,85.0,85.0,85.0,(1000 MT)
,,Chad,16.0,18.0,32.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,55.0,39.0,75.0,75.0,75.0,75.0,105.0,65.0,95.0,85.0,72.0,68.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,(1000 MT)
,,China,1018.0,1030.0,1142.0,1113.0,911.0,961.0,1154.0,1368.0,1667.0,1889.0,1915.0,1928.0,2532.0,3482.0,3015.0,3219.0,2893.0,2750.0,3250.0,3305.0,3028.0,4449.0,5411.0,5500.0,5495.0,5150.0,6176.0,6420.0,6800.0,6800.0,7150.0,6800.0,7164.0,7241.0,6450.0,6800.0,6950.0,7050.0,7550.0,7700.0,8100.0,8250.0,8200.0,8600.0,8450.0,8950.0,9150.0,9900.0,10100.0,9900.0,9800.0,9600.0,(1000 MT)
,,Congo (Kinshasa),81.0,87.0,108.0,112.0,112.0,107.0,110.0,110.0,107.0,120.0,123.0,127.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,229.0,179.0,179.0,139.0,139.0,130.0,120.0,130.0,120.0,130.0,127.0,128.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,(1000 MT)
,,Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,32.0,34.0,32.0,32.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,(1000 MT)
,,Dominican Republic,72.0,66.0,51.0,59.0,51.0,42.0,40.0,24.0,24.0,21.0,17.0,16.0,13.0,15.0,16.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
