Commodity,Attribute,Country,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
"Oil, Rapeseed",Crush,Algeria,59.0,54.0,54.0,44.0,35.0,58.0,45.0,62.0,46.0,44.0,97.0,64.0,86.0,80.0,68.0,71.0,69.0,27.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Argentina,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,15.0,23.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,17.0,20.0,19.0,21.0,23.0,18.0,16.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(1000 MT)
,,Australia,0.0,0.0,0.0,0.0,1.0,6.0,30.0,13.0,34.0,36.0,12.0,10.0,8.0,15.0,16.0,40.0,19.0,17.0,26.0,17.0,32.0,72.0,69.0,63.0,54.0,75.0,97.0,166.0,169.0,200.0,209.0,171.0,243.0,301.0,153.0,496.0,365.0,391.0,400.0,435.0,460.0,485.0,460.0,610.0,640.0,700.0,700.0,700.0,700.0,750.0,750.0,770.0,800.0,800.0,800.0,900.0,900.0,1000.0,1000.0,1100.0,(1000 MT)
,,Austria,2.0,2.0,3.0,2.0,11.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,94.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Bangladesh,165.0,188.0,163.0,211.0,212.0,211.0,235.0,158.0,171.0,124.0,165.0,145.0,135.0,138.0,136.0,140.0,140.0,135.0,135.0,257.0,283.0,262.0,289.0,242.0,275.0,252.0,262.0,262.0,277.0,286.0,282.0,391.0,366.0,394.0,409.0,526.0,500.0,430.0,445.0,425.0,420.0,530.0,590.0,620.0,595.0,600.0,600.0,700.0,630.0,560.0,680.0,834.0,815.0,615.0,835.0,1050.0,1100.0,1125.0,1225.0,1240.0,(1000 MT)
,,Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,45.0,45.0,50.0,25.0,30.0,20.0,15.0,20.0,14.0,12.0,43.0,52.0,68.0,86.0,57.0,52.0,113.0,130.0,130.0,230.0,414.0,441.0,351.0,360.0,625.0,620.0,680.0,350.0,255.0,630.0,725.0,725.0,825.0,1065.0,1125.0,1175.0,(1000 MT)
,,Belgium-Luxembourg,6.0,2.0,6.0,6.0,7.0,2.0,6.0,1.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,25.0,64.0,45.0,35.0,174.0,370.0,365.0,475.0,524.0,552.0,640.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Canada,49.0,85.0,113.0,117.0,157.0,176.0,194.0,273.0,353.0,334.0,276.0,347.0,550.0,630.0,725.0,897.0,1003.0,945.0,904.0,1159.0,1290.0,1211.0,1552.0,1608.0,1362.0,1229.0,1441.0,1829.0,1913.0,2195.0,2513.0,2753.0,2712.0,3239.0,3062.0,2983.0,3013.0,2293.0,2225.0,3390.0,3031.0,3423.0,3579.0,4144.0,4280.0,4788.0,6310.0,6999.0,6717.0,6979.0,7360.0,8315.0,9191.0,9269.0,9295.0,10129.0,10425.0,8555.0,9961.0,10650.0,(1000 MT)
,,Chile,55.0,72.0,56.0,41.0,68.0,63.0,73.0,68.0,25.0,25.0,53.0,62.0,79.0,49.0,62.0,69.0,26.0,11.0,3.0,4.0,29.0,90.0,78.0,123.0,113.0,40.0,58.0,57.0,19.0,27.0,27.0,32.0,28.0,50.0,70.0,46.0,66.0,2.0,17.0,20.0,38.0,45.0,41.0,65.0,71.0,40.0,64.0,100.0,143.0,135.0,190.0,200.0,178.0,210.0,175.0,170.0,155.0,130.0,135.0,155.0,(1000 MT)
,,China,845.0,980.0,815.0,906.0,815.0,790.0,869.0,1110.0,1257.0,1218.0,1244.0,1382.0,1213.0,1053.0,1681.0,2162.0,2146.0,3659.0,5054.0,3833.0,3775.0,5024.0,5264.0,5908.0,4514.0,4885.0,6274.0,6680.0,6888.0,6200.0,6954.0,8793.0,8370.0,8950.0,9545.0,12707.0,12530.0,11405.0,10016.0,11248.0,12848.0,13056.0,11457.0,10903.0,13500.0,14600.0,14000.0,15800.0,16400.0,18000.0,18000.0,17500.0,16800.0,17300.0,16475.0,15485.0,16000.0,16500.0,18500.0,18700.0,(1000 MT)
