Commodity,Attribute,Country,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
"Oil, Soybean",Crush,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,450.0,1100.0,1550.0,1575.0,1750.0,(1000 MT)
,,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,645.0,728.0,714.0,935.0,1341.0,2136.0,2985.0,3862.0,4372.0,4891.0,5397.0,6017.0,6242.0,6981.0,7748.0,8534.0,8780.0,8695.0,10255.0,11046.0,12886.0,17507.0,17074.0,17300.0,20859.0,23533.0,25040.0,27313.0,31888.0,33586.0,34607.0,31243.0,34127.0,37614.0,35886.0,33611.0,36173.0,40235.0,43267.0,43309.0,36933.0,40567.0,38770.0,40162.0,38825.0,30318.0,35500.0,(1000 MT)
,,Australia,8.0,2.0,1.0,2.0,2.0,4.0,12.0,16.0,27.0,72.0,69.0,56.0,72.0,79.0,102.0,112.0,114.0,109.0,74.0,114.0,151.0,102.0,145.0,155.0,136.0,116.0,119.0,117.0,103.0,134.0,111.0,111.0,130.0,111.0,120.0,112.0,45.0,63.0,60.0,58.0,55.0,54.0,53.0,38.0,64.0,62.0,25.0,75.0,75.0,30.0,33.0,34.0,27.0,43.0,23.0,20.0,32.0,37.0,40.0,40.0,(1000 MT)
,,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,60.0,111.0,115.0,154.0,149.0,138.0,115.0,156.0,325.0,487.0,660.0,883.0,896.0,1250.0,1380.0,1870.0,2300.0,2650.0,2425.0,1525.0,1900.0,(1000 MT)
,,Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,25.0,19.0,17.0,23.0,23.0,25.0,19.0,18.0,26.0,25.0,23.0,15.0,21.0,22.0,22.0,26.0,26.0,28.0,28.0,28.0,25.0,20.0,8.0,15.0,25.0,(1000 MT)
,,Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,105.0,315.0,425.0,545.0,400.0,300.0,450.0,500.0,(1000 MT)
,,Belgium-Luxembourg,147.0,168.0,234.0,251.0,259.0,314.0,337.0,325.0,449.0,728.0,671.0,864.0,792.0,1045.0,1032.0,920.0,1065.0,1510.0,1549.0,1524.0,1321.0,1336.0,1338.0,1246.0,1095.0,1104.0,815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,55.0,60.0,65.0,65.0,65.0,50.0,50.0,55.0,60.0,(1000 MT)
