Commodity,Attribute,Country,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
"Oil, Sunflowerseed",Crush,Algeria,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Argentina,0,0,0,0,0,0,0,0,965.0,974.0,604.0,944.0,1088.0,1167.0,1493.0,1626.0,1201.0,1845.0,2319.0,2054,3136.0,3484.0,2253.0,2549.0,3225.0,3400.0,3747.0,3500.0,2850.0,3240.0,4951.0,5123.0,5338.0,5391.0,6195.0,4825.0,2942.0,3393.0,3030.0,2854.0,3725.0,3704.0,3000.0,4260.0,3296.0,2769.0,3680.0,3755.0,2344.0,2211.0,2749.0,2779.0,3169.0,3283.0,3380.0,2750.0,3137.0,3550.0,4000.0,3850.0,(1000 MT)
,,Australia,0,0,0,0,0,0,0,0,94.0,77.0,104.0,74.0,56.0,130.0,138.0,55.0,115.0,98.0,97.0,142,266.0,213.0,126.0,128.0,74.0,48.0,104.0,67.0,34.0,105.0,108.0,72.0,146.0,82.0,196.0,117.0,64.0,55.0,23.0,53.0,58.0,90.0,45.0,65.0,53.0,44.0,41.0,44.0,41.0,18.0,30.0,25.0,18.0,14.0,20.0,20.0,25.0,30.0,35.0,35.0,(1000 MT)
,,Austria,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Belarus,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60.0,63.0,62.0,61.0,30.0,13.0,13.0,15.0,17.0,17.0,17.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,10.0,17.0,23.0,51.0,25.0,55.0,58.0,19.0,50.0,135.0,140.0,(1000 MT)
,,Belgium-Luxembourg,0,0,0,0,0,0,0,0,3.0,2.0,4.0,6.0,6.0,9.0,20.0,73.0,95.0,72.0,130.0,127,110.0,168.0,212.0,297.0,252.0,210.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Bolivia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,22.0,22.0,52.0,25.0,79.0,108.0,91.0,105.0,100.0,128.0,72.0,86.0,75.0,161.0,200.0,270.0,294.0,300.0,150.0,210.0,240.0,227.0,100.0,101.0,79.0,121.0,130.0,168.0,191.0,200.0,320.0,330.0,(1000 MT)
,,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,35.0,40.0,45.0,70.0,40.0,45.0,40.0,85.0,80.0,80.0,100.0,95.0,90.0,90.0,70.0,85.0,75.0,90.0,(1000 MT)
,,Brazil,0,0,0,0,0,0,0,0,18.0,10.0,10.0,3.0,3.0,3.0,5.0,22.0,22.0,26.0,3.0,2,2.0,2.0,2.0,5.0,11.0,4.0,4.0,4.0,6.0,9.0,12.0,21.0,28.0,32.0,50.0,97.0,53.0,58.0,57.0,85.0,61.0,85.0,103.0,120.0,120.0,89.0,80.0,114.0,110.0,220.0,143.0,66.0,105.0,140.0,110.0,75.0,37.0,40.0,65.0,65.0,(1000 MT)
,,Bulgaria,0,0,0,0,0,0,0,0,415.0,394.0,328.0,383.0,319.0,374.0,360.0,366.0,333.0,403.0,447.0,355,430.0,463.0,460.0,415.0,367.0,459.0,374.0,434.0,361.0,373.0,432.0,475.0,449.0,425.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Burma,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,12.0,13.0,12.0,31.0,67.0,67.0,108,134.0,205.0,240.0,210.0,116.0,80.0,86.0,77.0,86.0,73.0,99.0,99.0,99.0,60.0,60.0,115.0,123.0,153.0,160.0,165.0,190.0,200.0,353.0,320.0,470.0,500.0,495.0,350.0,275.0,275.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,(1000 MT)
,,Canada,0,0,0,0,0,0,0,0,40.0,21.0,6.0,22.0,14.0,30.0,45.0,70.0,75.0,80.0,46.0,27,36.0,38.0,26.0,32.0,32.0,36.0,50.0,50.0,50.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Chile,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0,2.0,3.0,3.0,1.0,5.0,4.0,2.0,1.0,6.0,6.0,6.0,(1000 MT)
,,China,0,0,0,0,0,0,0,0,107.0,105.0,105.0,105.0,102.0,139.0,194.0,238.0,641.0,940.0,907.0,947,1201.0,1225.0,1089.0,869.0,821.0,738.0,940.0,1053.0,1072.0,843.0,890.0,740.0,799.0,730.0,834.0,900.0,950.0,650.0,861.0,790.0,694.0,1072.0,658.0,637.0,882.0,906.0,950.0,975.0,1330.0,1300.0,1300.0,1400.0,1700.0,1800.0,1300.0,1200.0,1200.0,1250.0,700.0,600.0,(1000 MT)
,,Colombia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Croatia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,49.0,39.0,33.0,21.0,34.0,37.0,31.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Cuba,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Czech Republic,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,33.0,33.0,37.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Denmark,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Egypt,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,6.0,41.0,16.0,25.0,40.0,40.0,39.0,35.0,25.0,15.0,2.0,43.0,40.0,32.0,28.0,42.0,29.0,35.0,27.0,25.0,58.0,82.0,79.0,69.0,63.0,65.0,70.0,77.0,107.0,87.0,87.0,78.0,60.0,40.0,75.0,(1000 MT)
,,Estonia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,EU-15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4396.0,4387.0,4371.0,5005.0,5187.0,5612.0,5404.0,5309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,European Union,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6789.0,6237.0,5020.0,5055.0,6009.0,5523.0,5369.0,5569.0,4533.0,5945.0,6232.0,5950.0,6683.0,6110.0,7565.0,7650.0,7200.0,7893.0,8890.0,8691.0,8630.0,8200.0,10400.0,9500.0,9100.0,(1000 MT)
,,Finland,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,8.0,5,6.0,2.0,5.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Former Czechoslovakia,0,0,0,0,0,0,0,0,99.0,68.0,59.0,59.0,70.0,70.0,76.0,50.0,42.0,55.0,100.0,56,53.0,40.0,65.0,65.0,81.0,80.0,87.0,75.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Former Yugoslavia,0,0,0,0,0,0,0,0,265.0,415.0,280.0,263.0,310.0,462.0,490.0,475.0,265.0,295.0,170.0,125,135.0,220.0,433.0,470.0,390.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,France,0,0,0,0,0,0,0,0,72.0,99.0,78.0,75.0,50.0,124.0,143.0,208.0,202.0,212.0,271.0,337,350.0,593.0,778.0,796.0,967.0,982.0,1282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Georgia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,24.0,23.0,30.0,21.0,5.0,5.0,5.0,7.0,7.0,15.0,25.0,30.0,35.0,45.0,45.0,45.0,45.0,47.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,(1000 MT)
,,German Democratic Republic,0,0,0,0,0,0,0,0,73.0,63.0,61.0,28.0,20.0,25.0,79.0,41.0,38.0,28.0,28.0,55,33.0,33.0,25.0,25.0,21.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,"Germany, Federal Republic of",0,0,0,0,0,0,0,0,109.0,126.0,71.0,207.0,198.0,552.0,640.0,789.0,655.0,487.0,424.0,447,438.0,354.0,342.0,566.0,372.0,315.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Greece,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,12.0,23,65.0,46.0,46.0,90.0,80.0,50.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
